FilePath,ModificationKind,ChangeCount
impl/src/main/java/org/dukecon/server/javaland/JavalandDataProviderHealthIndicator.groovy,R,2
impl/src/test/java/org/dukecon/server/conference/adpater/RawDataResourcesTests.groovy,A,2
api/src/main/resources/raml/meta_schema.json,M,2
impl/src/main/resources/herbstcampus-2016/images/5288_1.jpg,A,2
impl/src/main/java/org/dukecon/server/herbstcampus/HerbstcampusCsvInput.groovy,A,2
api/src/test/java/org/dukecon/adapter/ResourceWrapperTests.java,A,2
impl/src/main/java/org/dukecon/server/model/Filters.groovy,M,2
impl/src/main/resources/herbstcampus-2016/images/5207_1.jpg,A,2
impl/src/test/java/org/dukecon/server/conference/SliceEventHelperSpec.groovy,A,2
api/src/main/resources/raml/talks_example.json,R,2
impl/src/main/java/org/dukecon/server/business/JavalandDataExtractor.groovy,A,2
impl/src/main/java/org/dukecon/server/herbstcampus/HerbstcampusMetaDataMapper.groovy,A,2
impl/src/main/java/org/dukecon/server/business/TalkProvider.groovy,A,2
impl/src/test/java/org/dukecon/unit/SampleSpec.groovy,A,2
impl/src/main/resources/javaland-speaker-2016.raw,M,2
impl/src/main/resources/herbstcampus-2016/images/5280_2.jpg,A,2
api/src/main/java/org/dukecon/services/ConferenceService.java,A,2
impl/src/main/java/org/dukecon/server/service/ConferenceDetailResource.groovy,M,2
impl/src/main/resources/herbstcampus-2016/images/5155_1.jpg,A,2
impl/src/main/java/org/dukecon/server/adapter/WebResourceLocalBackup.groovy,A,2
impl/src/main/resources/herbstcampus-2016/images/5510_1.jpg,A,2
api/src/main/resources/raml/talks_schema.json,M,2
impl/src/test/java/org/dukecon/server/filter/FiltersServiceSpec.groovy,A,2
impl/src/main/java/org/dukecon/server/herbstcampus/HerbstcampusLocationMapper.groovy,D,2
impl/src/main/resources/herbstcampus-2016/images/5163_1.jpg,A,2
impl/src/test/resources/demotalks.json,R,2
impl/src/main/resources/herbstcampus-2016/images/5262_1.jpg,A,2
.travis.yml,A,2
impl/src/test/java/org/dukecon/server/javaland/JavalandDataExtractorSpec.groovy,R,2
impl/src/main/java/org/dukecon/server/adapter/heise/HeiseLanguageMapper.groovy,R,2
impl/src/test/resources/arquillian-headless.xml,M,2
impl/src/main/resources/herbstcampus-2016/images/5283_1.jpg,A,2
impl/src/main/java/org/dukecon/server/herbstcampus/HerbstcampusAbstractEntityMapper.groovy,A,2
impl/src/test/java/org/dukecon/server/conference/adpater/heise/HeiseCsvInputSpec.groovy,A,2
impl/src/main/java/org/dukecon/server/adapter/ConferenceDataExtractor.groovy,R,2
impl/src/test/java/org/dukecon/server/conference/JavalandDataProviderSpec.groovy,M,2
impl/src/main/resources/herbstcampus-2016/images/5237_1.jpg,A,2
impl/src/main/resources/herbstcampus-2016/images/5241_1.jpg,A,2
impl/src/test/resources/javaland-2015.raw,D,2
impl/src/main/java/org/dukecon/server/herbstcampus/HerbstcampusDataExtractor.groovy,D,2
impl/src/main/resources/herbstcampus-2016/images/5203_1.jpg,A,2
impl/src/test/resources/conferences-test.yml,A,2
api/src/main/java/org/dukecon/model/TalkOld.java,A,2
api/src/main/java/org/dukecon/model/Event.java,A,2
impl/src/main/java/org/dukecon/server/herbstcampus/HerbstcampusDataProvider.groovy,M,2
impl/src/main/java/org/dukecon/server/core/JerseyConfig.java,A,2
impl/src/main/java/org/dukecon/server/herbstcampus/HerbstcampusLocationMapper.groovy,A,2
impl/src/main/java/org/dukecon/server/herbstcampus/HerbstcampusSpeakerMapper.groovy,A,2
api/src/main/java/org/dukecon/model/annotations/Relation.java,A,2
impl/src/main/java/org/dukecon/server/herbstcampus/HerbstcampusLanguageMapper.groovy,A,2
api/src/main/resources/raml/meta_example.json,R,2
impl/src/main/resources/herbstcampus-2016/images/5287_1.jpg,A,2
impl/src/main/java/org/dukecon/server/herbstcampus/HerbstcampusDataProvider.groovy,D,2
impl/src/main/java/org/dukecon/server/herbstcampus/HerbstcampusDataExtractor.groovy,M,2
impl/src/main/resources/herbstcampus-2016/images/5150_1.jpg,A,2
impl/src/main/java/org/dukecon/server/conference/InitResource.groovy,A,2
impl/src/main/resources/herbstcampus-2016/images/5224_1.jpg,A,2
impl/src/main/resources/javaland-speaker-2016.raw,A,2
impl/src/main/java/org/dukecon/server/favorites/NoAuthPreferencesServices.groovy,R,2
impl/src/main/java/org/dukecon/server/conference/CurrentConferenceResource.groovy,R,2
impl/src/main/java/org/dukecon/server/service/MetaService.java,A,2
